 Заболели Умерли Вакцинировались * 
США ; (77267254, 912255, '64%')
Индия ; (42478060, 506520, '52.3%')
Бразилия ; (26972914, 635421, '72.3%')
Франция ; (20541677, 130973, '75.1%')
Великобритания ; (18045701, 159090, '71.9%')
Россия ; (13527845, 338091, '48.4%**')
Турция ; (12554674, 89477, '61%')
Италия ; (11847436, 149896, '77.8%')
Германия ; (11832331, 119457, '74.5%')
Испания ; (10502141, 95213, '81.7%')
Аргентина ; (8675327, 123444, '78.4%')
Иран ; (6696927, 133164, '63.1%')
Колумбия ; (5994301, 136404, '65.6%')
Нидерланды ; (5443889, 21374, '70%')
Польша ; (5258785, 107204, '57.2%')
Мексика ; (5192008, 310627, '59.3%')
Украина ; (4582137, 108668, '35.7%')
Индонезия ; (4580093, 144719, '47.8%')
ЮАР ; (3631642, 96502, '27.1%')
Филиппины ; (3623176, 54690, '54.3%')
Япония ; (3576261, 19775, '79.7%')
Перу ; (3397637, 207536, '71.6%')
Бельгия ; (3386223, 29497, '77.8%')
Израиль ; (3316228, 9337, '66.9%')
Чехия ; (3311152, 37612, '63.7%')
Канада ; (3159212, 35114, '79%')
Португалия ; (2997770, 20354, '89.6%')
Малайзия ; (2956332, 32065, '75.4%')
Австралия ; (2822873, 4422, '77.4%')
Таиланд ; (2545873, 22364, '70.6%')
Швейцария ; (2489172, 12890, '69.3%')
Румыния ; (2482394, 61092, '41.3%')
Чили ; (2466098, 40111, '84.1%')
Вьетнам ; (2404651, 38614, '73.3%')
Швеция ; (2372637, 16358, '73.1%')
Ирак ; (2263525, 24600, '15.4%')
Австрия ; (2149623, 14293, '75.8%')
Дания ; (2142809, 3948, '82.2%')
Греция ; (2109999, 24410, '68.7%')
Бангладеш ; (1887271, 28703, '33.2%')
Сербия ; (1806086, 14171, '46.9%')
Словакия ; (1765914, 18014, '49.4%')
Венгрия ; (1671547, 42170, '62.7%')
Пакистан ; (1474075, 29648, '38.9%')
Иордания ; (1396430, 13409, '39.2%')
Грузия ; (1375615, 15351, '33%')
Казахстан ; (1370466, 18693, '45%')
Ирландия ; (1230539, 6291, '79.6%')
Южная Корея ; (1185361, 6963, '0%')
Марокко ; (1151081, 15698, '63.1%')
Куба ; (1056846, 8450, '86.9%')
Болгария ; (1018851, 34152, '29.1%')
Хорватия ; (998463, 14281, '54.3%')
Ливан ; (993095, 9769, '30.1%')
Непал ; (970462, 11852, '50.4%')
Норвегия ; (962407, 1512, '71.4%')
Тунис ; (954726, 26889, '53.8%')
Боливия ; (878922, 21219, '46.9%')
Монголия ; (863372, 2137, '63.6%')
ОАЭ ; (862514, 2273, '96%')
Словения ; (816299, 6028, '57.2%')
Белоруссия ; (797188, 6190, '45.3%')
Литва ; (776794, 8031, '66.9%')
Эквадор ; (769149, 34739, '75.1%')
Уругвай ; (749554, 6696, '79%')
Коста-Рика ; (745949, 7730, '75%')
Панама ; (735235, 7898, '66.8%')
Гватемала ; (720802, 16542, '30.6%')
Саудовская Аравия ; (719136, 8962, '67.8%')
Азербайджан ; (718145, 8948, '47.2%')
Шри-Ланка ; (623248, 15692, '64.3%')
Парагвай ; (615911, 17751, '43.6%')
Палестинские территории ; (594037, 5196, '0%')
Кувейт ; (590565, 2514, '77.6%')
Доминиканская Республика ; (565862, 4336, '54.3%')
Финляндия ; (546782, 2126, '76.4%')
Мьянма  ; (540597, 19310, '34.9%')
Венесуэла ; (499537, 5504, '42.5%')
Латвия ; (476730, 4978, '67.7%')
Молдова ; (474548, 10837, '28.7%')
Эфиопия ; (467001, 7397, '1.3%')
Ливия ; (459548, 6096, '15.1%')
Египет ; (446308, 23110, '26.8%')
Бахрейн ; (442062, 1418, '82.5%')
Сингапур ; (428954, 881, '84.6%')
Эстония ; (398519, 2088, '62.7%')
Армения ; (396885, 8108, '28.3%')
Гондурас ; (391874, 10512, '47.8%')
Босния и Герцеговина ; (359876, 14897, '24.1%')
Оман ; (359256, 4190, '72.6%')
Катар ; (348141, 653, '80.6%')
Кения ; (322274, 5622, '11.4%')
Замбия ; (308050, 3934, '9.2%')
Северная Македония ; (282147, 8658, '39.9%')
Кипр ; (280643, 761, '73%')
Албания ; (266416, 3399, '41.1%')
Алжир ; (259673, 6678, '12.7%')
Ботсвана ; (257167, 2593, '46.8%')
Реюньон ; (256787, 565, '0%')
Нигерия ; (253875, 3139, '2.5%')
Узбекистан ; (231179, 1592, '33.8%')
Зимбабве ; (230740, 5367, '18.9%')
Черногория ; (224793, 2622, '44.8%')
Мозамбик ; (224494, 2186, '28.8%')
Косово ; (220209, 3058, '42.4%')
Киргизия ; (199714, 2913, '17%')
Люксембург ; (171452, 966, '70%')
Афганистан ; (168550, 7465, '10.1%')
Уганда ; (162510, 3570, '4.6%')
Гана ; (157751, 1419, '10%')
Намибия ; (156519, 3984, '14.3%')
Мальдивы ; (154511, 286, '92%')
Лаос ; (137557, 583, '53.8%')
Сальвадор ; (135109, 3967, '65.2%')
Руанда ; (129210, 1449, '58.1%')
Ямайка ; (126437, 2706, '23.2%')
Китай ; (122553, 4851, '84.7%')
Камбоджа ; (122206, 3015, '90.2%')
Камерун ; (117676, 1907, '2.5%')
Тринидад и Тобаго ; (117525, 3495, '49.8%')
